Regió,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981
Vallès Oriental,417265,415315,413222,408465,405055,401654,398901,401092,400371,400964,401161,398381,394518,390880,383146,373531,363844,353719,343533,333754,323647,314547,306925,300629,294461,288326,283342,278659,274452,270434,266208,262998,258190,253199,248254,243607,240294,236820,233463,230492,227401,224492
Catalunya,7747709,7749896,7732756,7629889,7553681,7504764,7455671,7430638,7438060,7481158,7515398,7501853,7462044,7416605,7298313,7146734,6994937,6846692,6693297,6558740,6398166,6253305,6174547,6147717,6125339,6110000,6104729,6100983,6100436,6096899,6087339,6080751,6062273,6041469,6021225,5999320,5978032,5980322,5978426,5974821,5962723,5949829
Metropolità,4916847,4919300,4925860,4863969,4817194,4785760,4746618,4723793,4721018,4745967,4769527,5009581,4984865,4959239,4891594,4821068,4750431,4677170,4602626,4529078,4422882,4325380,4274477,4261809,4251711,4246159,4246002,4253677,4264008,4271430,4274054,4275859,4268780,4260809,4251234,4241290,4228743,4235881,4239625,4242079,4238646,4233900
Comarques Gironines,761690,769322,762260,750953,741748,735733,731219,729214,732012,735253,736352,734705,729928,722965,705446,681055,653935,630058,604090,582026,562313,546214,536201,530120,524841,520583,518782,515017,511498,508319,504972,502484,498091,491838,486840,481717,477989,474050,470031,465853,461109,456475
Camp de Tarragona,536453,532484,528937,520958,515189,511369,511008,511091,513077,515724,517641,615736,611093,604441,590469,565445,539245,513605,490426,473478,457932,445080,435415,430226,425031,420496,417393,412074,406843,401255,395546,391210,386224,381589,376834,371781,368114,366827,365173,363284,360779,358230
Terres de l'Ebre,182231,180794,179465,178027,177812,178748,179780,180984,183487,186249,188462,189244,189120,189457,187468,180114,174589,170004,164702,162150,159322,156378,154457,154772,154891,155194,155717,155510,155556,155403,155126,155260,155364,155437,155598,155647,155680,155476,155203,155070,154568,154215
Ponent,365289,366772,365925,361616,358972,358653,358500,359231,359997,362862,363744,363650,360928,357567,349547,339136,330528,323421,312967,306580,301530,295966,294921,294068,293737,293733,294047,294123,294300,293975,293317,293270,292493,292028,291605,291006,290588,290848,290851,290706,290224,289794
Comarques Centrals,413349,413673,411513,405056,399970,396650,394454,393672,389049,392041,394221,512615,510572,507379,499040,487239,475672,463253,451226,440261,430487,422295,417295,415045,413727,412744,411892,410123,408018,406463,404416,402855,401579,400093,399224,397943,396864,396773,396741,396795,396236,395813
Alt Pirineu i Aran,74086,74241,72710,72211,71743,71894,72082,72621,73068,74247,75462,76322,75538,75557,74749,72677,70537,69181,67260,65167,63700,61992,61781,61677,61401,61091,60896,60459,60213,60054,59908,59813,59742,59675,59890,59936,60054,60467,60802,61034,61161,61402
Penedès,497764,493310,486115,477120,471154,465970,462047,460140,466402,468839,469989,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barcelona,5701708,5702262,5702583,5628011,5572766,5534486,5490505,5465053,5463459,5492810,5519370,5508232,5481511,5452609,5376590,5294659,5212783,5127227,5041008,4956663,4840919,4736307,4680507,4665645,4654236,4647750,4646727,4652704,4661006,4666893,4667573,4667850,4659591,4650123,4639643,4628423,4613696,4620699,4624385,4626788,4622825,4617650
Girona,777258,784941,777339,765775,756137,750206,745642,743562,746451,749954,751279,749509,744485,737621,720204,695361,667724,643599,616994,594461,574342,556891,546755,540468,535077,530505,528716,524871,521304,518050,514615,512167,507677,501477,496396,491222,488337,484389,480321,476104,471252,466581
Lleida,437939,439258,437263,432643,429832,429606,429634,430991,432146,436116,438075,439134,435836,432482,423577,411154,400595,392247,380163,371956,365620,358649,357413,356606,356104,356055,356176,355824,355727,355298,354479,354264,353417,352843,352754,352247,352205,352931,353344,353575,353299,353153
Tarragona,830804,823435,815589,803471,794997,790490,789909,791064,796013,802294,806674,804978,800212,793893,777942,745560,713835,683619,655132,635660,617285,601458,589872,584998,579922,575690,573110,567584,562399,556658,550672,546470,541588,537026,532432,527428,523794,522303,520376,518354,515347,512445

